"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-18","108,870","109,706","111,585","108,512","18.77M","-0.76%"
"2022-11-17","109,703","110,241","110,242","107,245","23.12M","-0.49%"
"2022-11-16","110,243","113,166","113,473","109,512","18.35M","-2.58%"
"2022-11-14","113,161","112,256","114,322","111,930","15.08M","0.81%"
"2022-11-11","112,253","109,775","113,010","109,408","25.04M","2.26%"
"2022-11-10","109,775","113,579","113,579","108,516","26.03M","-3.35%"
"2022-11-9","113,580","116,153","116,183","113,110","20.53M","-2.22%"
"2022-11-8","116,160","115,340","117,072","114,688","14.24M","0.71%"
"2022-11-7","115,342","118,148","118,240","115,221","15.22M","-2.38%"
"2022-11-4","118,155","116,907","120,039","116,904","16.21M","1.08%"
"2022-11-3","116,896","116,927","117,373","114,485","15.63M","-0.03%"
"2022-11-1","116,929","116,037","118,261","115,547","17.97M","0.77%"
"2022-10-31","116,037","114,533","116,763","112,113","21.64M","1.31%"
"2022-10-28","114,539","114,636","114,712","113,336","14.39M","-0.09%"
"2022-10-27","114,641","112,766","116,236","112,765","15.53M","1.66%"
"2022-10-26","112,764","114,626","114,626","112,577","16.09M","-1.62%"
"2022-10-25","114,626","116,016","116,203","114,626","14.73M","-1.20%"
"2022-10-24","116,013","119,922","119,924","115,793","13.28M","-3.27%"
"2022-10-21","119,929","117,170","120,752","116,736","18.58M","2.35%"
"2022-10-20","117,171","116,276","117,367","116,276","16.92M","0.77%"
"2022-10-19","116,274","115,744","116,459","115,264","12.73M","0.46%"
"2022-10-18","115,743","113,627","115,795","113,627","14.74M","1.87%"
"2022-10-17","113,624","112,107","114,406","112,090","11.63M","1.38%"
"2022-10-14","112,072","114,301","114,712","111,631","13.10M","-1.95%"
"2022-10-13","114,300","114,819","115,367","112,690","14.58M","-0.46%"
"2022-10-11","114,827","115,928","115,928","114,297","13.14M","-0.96%"
"2022-10-10","115,941","116,377","116,841","115,261","11.43M","-0.37%"
"2022-10-7","116,375","117,560","117,960","115,924","13.62M","-1.01%"
"2022-10-6","117,561","117,200","118,382","117,144","14.52M","0.31%"
"2022-10-5","117,198","116,231","117,514","115,906","13.56M","0.83%"
"2022-10-4","116,230","116,147","118,280","115,837","16.08M","0.08%"
"2022-10-3","116,134","110,048","116,134","110,048","20.98M","5.54%"
"2022-9-30","110,037","107,664","110,502","107,315","16.54M","2.20%"
"2022-9-29","107,664","108,449","108,449","106,244","14.59M","-0.73%"
"2022-9-28","108,451","108,377","108,970","107,914","13.54M","0.07%"
"2022-9-27","108,376","109,122","110,161","108,120","14.52M","-0.68%"
"2022-9-26","109,114","111,713","111,713","109,022","13.13M","-2.33%"
"2022-9-23","111,716","114,070","114,070","110,732","13.54M","-2.06%"
"2022-9-22","114,070","111,942","114,392","111,819","15.68M","1.91%"
"2022-9-21","111,936","112,517","113,294","111,380","14.73M","-0.52%"
"2022-9-20","112,517","111,824","112,544","111,393","12.57M","0.62%"
"2022-9-19","111,824","109,283","111,976","108,508","12.59M","2.33%"
"2022-9-16","109,280","109,951","109,952","108,489","18.84M","-0.61%"
"2022-9-15","109,954","110,547","111,100","109,524","11.62M","-0.54%"
"2022-9-14","110,547","110,794","111,504","110,118","11.63M","-0.22%"
"2022-9-13","110,794","113,398","113,400","110,522","12.61M","-2.30%"
"2022-9-12","113,407","112,307","114,160","112,305","11.71M","0.98%"
"2022-9-9","112,300","109,922","112,540","109,922","12.16M","2.17%"
"2022-9-8","109,916","109,771","110,768","108,619","13.76M","0.14%"
"2022-9-6","109,764","112,203","112,203","109,348","14.30M","-2.17%"
"2022-9-5","112,203","110,868","112,671","110,865","9.52M","1.21%"
"2022-9-2","110,864","110,409","112,264","110,409","16.69M","0.42%"
"2022-9-1","110,405","109,524","110,405","108,217","14.48M","0.81%"
"2022-8-31","109,523","110,431","111,364","109,523","14.79M","-0.82%"
"2022-8-30","110,431","112,323","112,869","110,103","11.94M","-1.68%"
"2022-8-29","112,323","112,296","113,222","111,689","9.80M","0.02%"
"2022-8-26","112,299","113,533","114,091","111,978","11.16M","-1.09%"
"2022-8-25","113,532","112,898","114,156","112,768","11.84M","0.56%"
"2022-8-24","112,898","112,856","113,888","112,632","13.76M","0.04%"
"2022-8-23","112,857","110,504","112,965","110,503","11.89M","2.13%"
"2022-8-22","110,501","111,487","111,487","109,858","11.01M","-0.89%"
"2022-8-19","111,496","113,807","113,807","111,146","12.68M","-2.04%"
"2022-8-18","113,813","113,708","114,375","113,304","10.64M","0.09%"
"2022-8-17","113,708","113,508","114,146","112,483","14.65M","0.17%"
"2022-8-16","113,512","113,034","113,626","112,690","12.99M","0.43%"
"2022-8-15","113,032","112,767","113,214","111,067","15.55M","0.24%"
"2022-8-12","112,764","109,718","112,764","109,718","18.70M","2.78%"
"2022-8-11","109,718","110,236","111,310","109,604","14.94M","-0.47%"
"2022-8-10","110,236","108,658","110,362","108,657","13.38M","1.46%"
"2022-8-9","108,651","108,403","109,331","107,842","12.15M","0.23%"
"2022-8-8","108,402","106,473","108,489","106,473","12.67M","1.81%"
"2022-8-5","106,472","105,893","107,176","105,518","12.95M","0.55%"
"2022-8-4","105,892","103,777","106,162","103,777","15.50M","2.04%"
"2022-8-3","103,775","103,362","103,878","102,822","12.38M","0.40%"
"2022-8-2","103,362","102,225","103,660","101,694","10.12M","1.11%"
"2022-8-1","102,225","103,165","103,317","101,764","11.63M","-0.91%"
"2022-7-29","103,165","102,597","103,989","102,514","12.93M","0.55%"
