"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-18","11,893.81","11,893.81","11,893.81","11,893.81","","0.00%"
"2022-11-17","11,893.81","11,893.81","11,893.81","11,893.81","","0.00%"
"2022-11-16","11,893.83","11,893.83","11,893.83","11,893.83","","0.00%"
"2022-11-15","11,893.84","11,893.84","11,893.84","11,893.84","","0.00%"
"2022-11-14","11,893.89","11,893.89","11,893.89","11,893.89","","0.00%"
"2022-11-11","11,893.90","11,893.90","11,893.90","11,893.90","","0.00%"
"2022-11-10","11,893.90","11,893.90","11,893.90","11,893.90","","0.00%"
"2022-11-9","11,893.99","11,893.99","11,893.99","11,893.99","","0.00%"
"2022-11-8","11,893.99","11,893.99","11,893.99","11,893.99","","0.00%"
"2022-11-7","11,894.00","11,894.00","11,894.00","11,894.00","","0.00%"
"2022-11-4","11,894.00","11,894.00","11,894.00","11,894.00","","0.00%"
"2022-11-3","11,894.00","11,894.00","11,894.00","11,894.00","","0.00%"
"2022-11-2","11,894.01","11,894.01","11,894.01","11,894.01","","0.00%"
"2022-11-1","11,894.01","11,894.01","11,894.01","11,894.01","","0.00%"
"2022-10-31","11,894.01","11,894.01","11,894.01","11,894.01","","0.00%"
"2022-10-28","11,894.01","11,894.01","11,894.01","11,894.01","","0.00%"
"2022-10-27","11,894.02","11,894.02","11,894.02","11,894.02","","0.00%"
"2022-10-26","11,894.02","11,894.02","11,894.02","11,894.02","","0.00%"
"2022-10-25","11,894.02","11,894.02","11,894.02","11,894.02","","0.00%"
"2022-10-24","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-21","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-20","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-19","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-18","11,893.95","11,893.95","11,893.95","11,893.95","","0.00%"
"2022-10-17","11,893.96","11,893.96","11,893.96","11,893.96","","0.00%"
"2022-10-14","11,893.96","11,893.96","11,893.96","11,893.96","","0.00%"
"2022-10-13","11,893.97","11,893.97","11,893.97","11,893.97","","0.00%"
"2022-10-12","11,894.02","11,894.02","11,894.02","11,894.02","","0.00%"
"2022-10-11","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-10","11,894.04","11,894.04","11,894.04","11,894.04","","0.00%"
"2022-10-7","11,894.09","11,894.09","11,894.09","11,894.09","","0.00%"
"2022-10-6","11,894.07","11,894.07","11,894.07","11,894.07","","0.00%"
"2022-10-5","11,894.03","11,894.03","11,894.03","11,894.03","","0.00%"
"2022-10-4","11,894.09","11,894.09","11,894.09","11,894.09","","0.00%"
"2022-10-3","11,894.09","11,894.09","11,894.09","11,894.09","","0.00%"
"2022-9-30","11,894.10","11,894.10","11,894.10","11,894.10","","0.00%"
"2022-9-29","11,894.12","11,894.12","11,894.12","11,894.12","","0.00%"
"2022-9-28","11,894.13","11,894.13","11,894.13","11,894.13","","0.00%"
"2022-9-27","11,894.14","11,894.14","11,894.14","11,894.14","","0.00%"
"2022-9-26","11,894.14","11,894.14","11,894.14","11,894.14","","0.00%"
"2022-9-23","11,894.15","11,894.15","11,894.15","11,894.15","","0.00%"
"2022-9-22","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-21","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-20","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-16","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-15","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-14","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-13","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-12","11,894.16","11,894.16","11,894.16","11,894.16","","0.00%"
"2022-9-9","11,894.18","11,894.18","11,894.18","11,894.18","","0.00%"
"2022-9-8","11,894.18","11,894.18","11,894.18","11,894.18","","0.00%"
"2022-9-7","11,894.20","11,894.20","11,894.20","11,894.20","","0.00%"
"2022-9-6","11,894.20","11,894.20","11,894.20","11,894.20","","0.00%"
"2022-9-5","11,894.20","11,894.20","11,894.20","11,894.20","","0.00%"
"2022-9-2","11,894.20","11,894.20","11,894.20","11,894.20","","0.00%"
"2022-9-1","11,894.20","11,894.20","11,894.20","11,894.20","","0.00%"
"2022-8-31","11,894.25","11,894.25","11,894.25","11,894.25","","0.00%"
"2022-8-30","11,894.25","11,894.25","11,894.25","11,894.25","","0.00%"
"2022-8-29","11,894.25","11,894.25","11,894.25","11,894.25","","0.00%"
"2022-8-26","11,894.25","11,894.25","11,894.25","11,894.25","","0.00%"
"2022-8-25","11,894.26","11,894.26","11,894.26","11,894.26","","0.00%"
"2022-8-24","11,894.26","11,894.26","11,894.26","11,894.26","","0.00%"
"2022-8-23","11,894.26","11,894.26","11,894.26","11,894.26","","0.00%"
"2022-8-22","11,894.29","11,894.29","11,894.29","11,894.29","","0.00%"
"2022-8-19","11,894.29","11,894.29","11,894.29","11,894.29","","0.00%"
"2022-8-18","11,894.30","11,894.30","11,894.30","11,894.30","","0.00%"
