"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-18","157,253.59","155,259.27","157,803.13","154,536.44","","1.28%"
"2022-11-17","155,259.27","154,108.77","155,731.39","152,825.13","","0.75%"
"2022-11-16","154,108.77","155,158.95","156,505.27","153,296.66","","-0.68%"
"2022-11-15","155,158.95","152,685.42","157,059.97","152,685.42","","1.62%"
"2022-11-14","152,685.42","150,413.34","153,872.39","148,517.41","","1.51%"
"2022-11-11","150,413.34","144,879.06","150,608.41","144,879.06","","3.82%"
"2022-11-10","144,879.06","143,091.48","147,722.77","143,091.48","","1.25%"
"2022-11-9","143,091.48","148,059.80","148,182.28","142,796.56","","-3.27%"
"2022-11-8","147,924.03","147,829.64","150,161.19","145,978.56","","0.06%"
"2022-11-7","147,829.64","151,491.70","153,569.63","147,648.00","","-2.27%"
"2022-11-4","151,263.25","150,451.02","152,899.69","150,405.23","","0.54%"
"2022-11-3","150,451.02","149,315.06","151,577.70","147,989.89","","0.76%"
"2022-11-2","149,309.36","153,002.14","153,102.03","149,259.42","","-2.41%"
"2022-11-1","153,002.14","149,938.31","154,031.50","149,938.31","","2.04%"
"2022-10-31","149,938.31","147,867.52","150,238.84","147,645.02","","1.42%"
"2022-10-28","147,845.41","148,147.13","148,426.44","145,936.13","","-0.18%"
"2022-10-27","148,109.61","145,028.47","148,808.67","144,916.97","","2.12%"
"2022-10-26","145,028.47","143,962.91","145,802.77","143,962.91","","0.74%"
"2022-10-25","143,959.36","139,733.39","144,060.78","139,710.55","","3.02%"
"2022-10-24","139,733.39","138,944.80","140,421.42","136,188.58","","0.57%"
"2022-10-21","138,944.80","136,138.78","139,218.97","136,138.78","","2.06%"
"2022-10-20","136,138.78","136,484.20","139,712.72","135,631.72","","-0.25%"
"2022-10-19","136,484.20","137,542.20","138,156.34","136,155.95","","-0.77%"
"2022-10-18","137,542.20","138,953.48","139,750.53","136,685.13","","-1.02%"
"2022-10-17","138,953.48","137,290.73","140,431.64","137,290.73","","1.21%"
"2022-10-14","137,290.73","140,763.77","140,763.77","136,909.70","","-2.47%"
"2022-10-13","140,763.77","136,396.44","140,970.06","135,791.30","","3.20%"
"2022-10-12","136,396.44","136,982.38","137,331.94","135,657.66","","-0.43%"
"2022-10-11","136,982.38","144,645.33","144,645.33","136,712.88","","-5.30%"
"2022-10-6","144,645.33","146,722.88","147,256.70","144,518.89","","-1.42%"
"2022-10-5","146,722.88","144,926.66","148,056.33","143,549.97","","1.24%"
"2022-10-4","144,926.66","145,068.69","147,619.30","144,399.06","","-0.09%"
"2022-10-3","145,062.98","139,137.20","145,271.28","139,137.20","","4.28%"
"2022-9-30","139,115.09","138,041.98","140,154.36","137,832.23","","0.80%"
"2022-9-29","138,004.48","138,023.36","138,628.89","134,864.61","","-0.01%"
"2022-9-28","138,023.36","135,472.73","138,402.02","135,472.73","","1.88%"
"2022-9-27","135,472.73","138,148.27","140,167.27","134,814.89","","-1.94%"
"2022-9-26","138,148.27","142,931.73","143,803.55","136,991.16","","-3.35%"
"2022-9-23","142,931.73","149,480.84","149,480.84","142,610.00","","-4.38%"
"2022-9-22","149,480.84","146,980.13","149,766.02","146,578.31","","1.70%"
"2022-9-21","146,980.13","147,929.75","148,433.03","145,631.73","","-0.64%"
"2022-9-20","147,929.75","150,262.08","150,953.86","147,227.70","","-1.55%"
"2022-9-19","150,262.08","145,741.81","150,971.41","145,296.84","","3.10%"
"2022-9-16","145,741.81","144,765.55","146,790.77","143,422.95","","0.67%"
"2022-9-15","144,765.55","146,750.05","148,452.17","143,894.27","","-1.35%"
"2022-9-14","146,750.05","142,941.59","146,990.06","142,941.59","","2.66%"
"2022-9-13","142,941.59","144,714.11","145,873.56","142,768.23","","-1.22%"
"2022-9-12","144,714.11","144,642.19","147,135.34","144,269.28","","0.05%"
"2022-9-9","144,642.19","141,509.31","144,848.36","141,509.31","","2.21%"
"2022-9-8","141,509.31","141,189.48","144,110.63","140,530.31","","0.36%"
"2022-9-7","141,001.53","137,309.27","141,870.75","136,326.30","","2.69%"
"2022-9-6","137,309.27","138,268.03","138,701.11","136,595.48","","-0.69%"
"2022-9-5","138,268.03","136,369.09","139,989.19","136,369.09","","1.44%"
"2022-9-1","136,302.13","136,240.97","137,706.94","134,328.98","","0.04%"
"2022-8-31","136,240.97","141,133.59","142,206.16","136,050.73","","-3.47%"
"2022-8-30","141,133.59","143,805.16","143,805.16","140,446.80","","-1.86%"
"2022-8-29","143,805.16","141,459.95","145,859.42","140,996.20","","1.66%"
"2022-8-26","141,459.95","142,777.63","143,246.84","138,832.80","","-0.92%"
"2022-8-25","142,777.63","140,246.05","143,037.52","139,342.69","","1.81%"
"2022-8-24","140,246.05","136,997.69","140,800.06","136,290.95","","2.37%"
"2022-8-23","136,997.69","132,252.56","137,322.61","132,252.56","","3.59%"
"2022-8-22","132,252.56","131,009.08","132,419.77","129,648.85","","0.95%"
"2022-8-19","131,009.08","131,490.91","131,490.91","128,619.82","","-0.37%"
"2022-8-18","131,490.91","125,962.94","131,584.88","125,962.94","","4.39%"
"2022-8-17","125,962.94","124,787.34","126,151.06","124,106.22","","0.94%"
"2022-8-16","124,787.34","125,979.57","127,589.79","123,681.83","","-0.95%"
"2022-8-12","125,979.57","123,333.93","126,263.46","123,333.93","","2.15%"
"2022-8-11","123,333.93","122,129.90","124,616.97","122,129.90","","0.99%"
"2022-8-10","122,129.90","121,920.79","123,108.25","121,243.26","","0.17%"
"2022-8-9","121,920.79","123,953.36","123,953.36","121,707.72","","-1.64%"
"2022-8-8","123,953.36","121,003.89","124,194.48","121,003.89","","2.44%"
"2022-8-5","121,003.89","120,437.18","122,564.53","120,437.18","","0.47%"
"2022-8-4","120,437.18","120,389.93","121,699.30","119,097.40","","0.04%"
"2022-8-3","120,389.93","118,691.20","120,658.11","118,114.42","","1.43%"
"2022-8-2","118,691.20","117,592.51","120,092.17","117,144.50","","0.94%"
"2022-8-1","117,586.78","122,551.36","122,870.90","117,255.14","","-4.03%"
"2022-7-29","122,528.27","127,592.57","130,078.83","122,223.13","","-3.82%"
"2022-7-28","127,400.00","126,361.98","130,650.78","124,416.80","","0.82%"
"2022-7-27","126,361.98","120,038.38","126,670.33","118,813.91","","5.27%"
"2022-7-26","120,038.38","119,508.31","121,436.69","118,521.36","","0.44%"
"2022-7-25","119,508.31","113,851.41","119,805.83","113,851.41","","4.97%"
"2022-7-22","113,851.41","112,017.03","114,070.16","111,070.23","","1.64%"
"2022-7-21","112,017.03","106,949.06","113,408.54","106,333.99","","4.74%"
"2022-7-20","106,949.06","107,185.43","107,648.06","106,016.87","","-0.22%"
"2022-7-19","107,185.43","105,441.24","107,547.08","105,441.24","","1.65%"
"2022-7-18","105,441.24","104,222.92","106,523.39","104,222.92","","1.17%"
"2022-7-15","104,222.92","100,518.41","104,351.34","100,430.45","","3.69%"
"2022-7-14","100,518.41","102,270.96","102,270.96","100,026.97","","-1.71%"
"2022-7-13","102,270.96","103,209.83","103,369.45","101,955.15","","-0.91%"
"2022-7-12","103,209.83","104,431.92","104,445.42","101,790.59","","-1.17%"
"2022-7-11","104,431.92","105,851.67","105,851.67","101,922.03","","-1.34%"
"2022-7-8","105,850.01","102,591.51","106,469.99","101,143.99","","3.51%"
"2022-7-7","102,265.41","95,075.87","102,585.79","95,075.87","","7.56%"
"2022-7-6","95,075.87","92,689.47","95,199.72","90,918.51","","2.57%"
"2022-7-5","92,689.47","89,134.49","92,950.40","89,066.26","","3.99%"
"2022-7-4","89,128.79","90,249.12","90,249.12","87,005.58","","-1.02%"
"2022-7-1","90,050.78","88,449.89","90,276.51","87,760.97","","1.81%"
"2022-6-30","88,449.89","88,130.75","89,244.56","85,765.30","","0.36%"
"2022-6-29","88,130.75","88,194.70","88,544.18","86,567.35","","-0.07%"
"2022-6-28","88,194.70","85,712.27","88,349.61","85,712.27","","2.90%"
"2022-6-27","85,712.27","82,605.64","85,785.12","82,374.26","","3.76%"
"2022-6-24","82,605.64","83,170.06","84,061.25","82,295.51","","-0.68%"
"2022-6-23","83,170.06","85,662.48","85,662.48","81,977.46","","-2.91%"
"2022-6-22","85,662.48","86,545.90","86,624.76","85,412.04","","-1.02%"
"2022-6-21","86,545.90","87,060.90","87,503.88","86,392.26","","-0.59%"
"2022-6-16","87,060.90","88,465.55","88,465.55","86,564.63","","-1.59%"
"2022-6-15","88,465.55","87,400.00","88,789.13","87,400.00","","1.22%"
"2022-6-14","87,400.00","87,937.89","88,976.39","86,632.60","","-0.61%"
"2022-6-13","87,937.89","89,143.04","89,143.04","86,617.30","","-1.35%"
"2022-6-10","89,141.39","88,869.78","89,171.71","87,329.87","","0.31%"
"2022-6-9","88,869.78","89,982.30","89,982.30","88,282.21","","-1.20%"
"2022-6-8","89,946.88","90,938.11","91,218.84","89,843.60","","-1.09%"
"2022-6-7","90,938.11","90,385.84","91,063.79","90,141.45","","0.65%"
"2022-6-6","90,351.73","91,775.17","92,579.51","90,035.26","","-1.55%"
"2022-6-3","91,775.17","91,678.62","92,025.59","91,343.54","","0.35%"
"2022-6-2","91,452.04","91,369.58","92,141.32","90,732.23","","0.09%"
"2022-6-1","91,369.58","92,288.03","92,489.39","90,607.70","","-1.00%"
"2022-5-31","92,288.03","93,236.24","93,552.08","91,792.33","","-1.02%"
"2022-5-30","93,236.24","93,683.29","94,207.30","93,120.33","","-0.48%"
"2022-5-27","93,683.29","93,710.99","94,319.11","93,518.95","","-0.03%"
"2022-5-26","93,710.99","91,271.67","93,776.47","91,271.67","","2.67%"
"2022-5-24","91,271.67","90,344.05","91,447.90","89,835.74","","1.03%"
"2022-5-23","90,344.05","88,118.96","90,525.42","87,698.05","","2.53%"
"2022-5-20","88,118.96","88,634.32","89,799.93","87,330.94","","-0.58%"
"2022-5-19","88,634.32","90,803.43","90,803.43","88,634.32","","-2.39%"
"2022-5-17","90,803.43","89,964.80","91,857.03","89,964.80","","0.93%"
"2022-5-16","89,964.80","88,795.76","90,385.92","88,500.97","","1.32%"
"2022-5-13","88,795.76","85,532.83","88,974.53","85,532.83","","3.83%"
"2022-5-12","85,520.83","85,762.84","86,786.67","84,285.57","","-0.28%"
"2022-5-11","85,762.84","83,676.75","85,884.39","83,676.75","","2.49%"
"2022-5-10","83,676.75","82,243.55","83,839.19","81,962.83","","1.74%"
