"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-18","19,980.91","19,934.36","19,995.17","19,891.35","243.06M","0.48%"
"2022-11-17","19,884.58","19,790.52","19,884.58","19,742.33","257.16M","-0.37%"
"2022-11-16","19,957.96","19,928.97","20,011.58","19,897.26","266.86M","-0.18%"
"2022-11-15","19,994.78","20,110.07","20,117.36","19,938.59","242.85M","0.37%"
"2022-11-14","19,921.81","20,057.51","20,102.31","19,921.81","367.89M","-0.94%"
"2022-11-11","20,111.51","20,097.52","20,169.79","20,023.50","266.58M","0.61%"
"2022-11-10","19,990.36","19,724.52","20,035.29","19,724.52","301.12M","3.34%"
"2022-11-9","19,344.25","19,570.46","19,585.09","19,337.95","244.30M","-1.61%"
"2022-11-8","19,660.31","19,578.27","19,743.32","19,533.85","231.56M","0.59%"
"2022-11-7","19,545.91","19,525.15","19,565.62","19,431.05","247.55M","0.49%"
"2022-11-4","19,449.81","19,475.55","19,580.08","19,299.95","298.29M","1.08%"
"2022-11-3","19,241.22","19,133.85","19,322.44","19,090.64","257.78M","-0.19%"
"2022-11-2","19,277.01","19,490.77","19,669.36","19,277.01","290.68M","-1.23%"
"2022-11-1","19,517.71","19,674.85","19,698.33","19,496.32","178.36M","0.47%"
"2022-10-31","19,426.14","19,406.52","19,510.88","19,402.06","262.56M","-0.23%"
"2022-10-28","19,471.19","19,365.10","19,471.29","19,282.70","198.10M","0.62%"
"2022-10-27","19,352.11","19,391.14","19,516.36","19,316.63","223.83M","0.38%"
"2022-10-26","19,279.76","19,097.54","19,435.91","19,097.54","254.30M","0.96%"
"2022-10-25","19,097.01","18,858.99","19,099.47","18,858.99","227.76M","0.94%"
"2022-10-24","18,918.40","18,914.95","18,955.94","18,786.05","236.81M","0.30%"
"2022-10-21","18,860.95","18,558.08","18,880.76","18,513.54","209.61M","1.52%"
"2022-10-20","18,579.29","18,682.05","18,838.79","18,534.33","225.18M","-0.51%"
"2022-10-19","18,674.40","18,712.27","18,761.64","18,577.02","205.78M","-0.66%"
"2022-10-18","18,798.18","18,872.07","18,923.92","18,668.75","187.28M","0.95%"
"2022-10-17","18,621.02","18,546.10","18,756.68","18,546.10","272.43M","1.61%"
"2022-10-14","18,326.35","18,686.86","18,763.70","18,319.88","222.25M","-1.54%"
"2022-10-13","18,613.63","17,958.77","18,661.43","17,873.18","263.54M","2.24%"
"2022-10-12","18,206.28","18,185.10","18,273.64","18,111.57","230.56M","-0.06%"
"2022-10-11","18,216.68","18,380.35","18,427.33","18,174.38","304.72M","-1.97%"
"2022-10-7","18,583.13","18,849.10","18,849.29","18,522.55","237.89M","-2.09%"
"2022-10-6","18,979.01","19,165.97","19,197.78","18,895.40","247.72M","-1.33%"
"2022-10-5","19,235.09","19,240.25","19,296.73","19,106.48","229.00M","-0.70%"
"2022-10-4","19,370.99","19,172.79","19,405.12","19,172.79","283.83M","2.59%"
"2022-10-3","18,881.19","18,621.76","18,966.90","18,581.30","238.32M","2.37%"
"2022-9-30","18,444.22","18,453.91","18,685.04","18,381.07","238.13M","0.01%"
"2022-9-29","18,441.84","18,534.03","18,534.03","18,258.42","216.91M","-1.11%"
"2022-9-28","18,648.92","18,307.88","18,703.89","18,247.90","229.10M","1.86%"
"2022-9-27","18,307.91","18,493.89","18,546.76","18,247.74","243.47M","-0.10%"
"2022-9-26","18,327.04","18,405.29","18,603.47","18,273.00","350.60M","-0.83%"
"2022-9-23","18,480.98","18,739.73","18,739.73","18,372.64","324.44M","-2.75%"
"2022-9-22","19,002.68","19,263.26","19,290.32","18,985.00","209.76M","-0.95%"
"2022-9-21","19,184.54","19,473.69","19,503.46","19,184.54","222.08M","-0.95%"
"2022-9-20","19,368.69","19,505.42","19,507.83","19,246.77","234.58M","-0.99%"
"2022-9-19","19,562.38","19,203.26","19,569.14","19,198.11","264.09M","0.91%"
"2022-9-16","19,385.88","19,386.16","19,421.61","19,283.19","622.08M","-0.89%"
"2022-9-15","19,560.16","19,640.72","19,785.14","19,521.29","218.51M","-0.84%"
"2022-9-14","19,726.14","19,683.64","19,809.13","19,649.31","237.74M","0.41%"
"2022-9-13","19,645.40","19,713.13","19,850.63","19,602.53","248.37M","-1.71%"
"2022-9-12","19,987.23","19,923.17","20,032.60","19,885.88","286.23M","1.08%"
"2022-9-9","19,773.34","19,592.41","19,789.58","19,592.41","233.56M","1.86%"
"2022-9-8","19,413.00","19,193.23","19,415.52","19,163.61","226.54M","0.89%"
"2022-9-7","19,241.44","19,013.73","19,264.46","18,981.97","233.64M","0.80%"
"2022-9-6","19,088.15","19,346.35","19,371.48","19,074.60","258.39M","-0.95%"
"2022-9-2","19,270.85","19,349.41","19,478.27","19,203.82","211.10M","0.67%"
"2022-9-1","19,142.72","19,179.49","19,179.49","18,986.19","248.54M","-0.97%"
"2022-8-31","19,330.81","19,450.62","19,506.39","19,329.88","281.28M","-0.93%"
"2022-8-30","19,512.90","19,819.82","19,819.82","19,484.77","220.07M","-1.63%"
"2022-8-29","19,836.12","19,752.80","19,884.23","19,704.96","286.43M","-0.19%"
"2022-8-26","19,873.29","20,204.71","20,205.62","19,860.58","219.29M","-1.48%"
"2022-8-25","20,172.34","20,113.11","20,188.98","20,081.00","248.11M","0.75%"
"2022-8-24","20,021.38","19,961.83","20,068.93","19,961.53","216.59M","0.18%"
"2022-8-23","19,985.35","19,968.48","20,082.91","19,941.12","237.56M","0.05%"
"2022-8-22","19,974.92","19,917.00","19,974.92","19,837.79","252.50M","-0.68%"
"2022-8-19","20,111.38","20,184.88","20,192.79","20,067.24","212.87M","-0.76%"
"2022-8-18","20,265.37","20,230.61","20,323.57","20,209.46","199.91M","0.42%"
"2022-8-17","20,181.44","20,191.67","20,251.98","20,130.83","225.97M","-0.44%"
