"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-21","4,109.98","4,109.98","4,109.98","4,109.98","","-2.14%"
"2022-11-18","4,199.75","4,199.75","4,199.75","4,199.75","","-0.91%"
"2022-11-17","4,238.39","4,238.39","4,238.39","4,238.39","","1.23%"
"2022-11-16","4,187.06","4,187.06","4,187.06","4,187.06","","-0.53%"
"2022-11-15","4,209.46","4,209.46","4,209.46","4,209.46","","1.71%"
"2022-11-14","4,138.55","4,138.55","4,138.55","4,138.55","","0.00%"
"2022-11-11","4,138.55","4,138.55","4,138.55","4,138.55","","-1.46%"
"2022-11-10","4,200.04","4,200.04","4,200.04","4,200.04","","2.44%"
"2022-11-9","4,100.06","4,100.06","4,100.06","4,100.06","","0.44%"
"2022-11-8","4,082.04","4,082.04","4,082.04","4,082.04","","0.48%"
"2022-11-7","4,062.44","4,062.44","4,062.44","4,062.44","","0.00%"
"2022-11-4","4,062.44","4,062.44","4,062.44","4,062.44","","2.91%"
"2022-11-3","3,947.75","3,947.75","3,947.75","3,947.75","","-2.68%"
"2022-11-2","4,056.53","4,056.53","4,056.53","4,056.53","","-1.06%"
"2022-11-1","4,100.09","4,100.09","4,100.09","4,100.09","","1.62%"
"2022-10-31","4,034.83","4,034.83","4,034.83","4,034.83","","1.21%"
"2022-10-28","3,986.54","3,986.54","3,986.54","3,986.54","","1.19%"
"2022-10-27","3,939.48","3,939.48","3,939.48","3,939.48","","1.33%"
"2022-10-26","3,887.70","3,887.70","3,887.70","3,887.70","","-0.03%"
"2022-10-25","3,888.72","3,888.72","3,888.72","3,888.72","","1.41%"
"2022-10-24","3,834.71","3,834.71","3,834.71","3,834.71","","-3.05%"
"2022-10-21","3,955.47","3,955.47","3,955.47","3,955.47","","1.79%"
"2022-10-20","3,885.81","3,885.81","3,885.81","3,885.81","","-1.17%"
"2022-10-19","3,931.91","3,931.91","3,931.91","3,931.91","","0.78%"
"2022-10-18","3,901.65","3,901.65","3,901.65","3,901.65","","3.16%"
"2022-10-17","3,782.08","3,782.08","3,782.08","3,782.08","","0.00%"
"2022-10-14","3,782.08","3,782.08","3,782.08","3,782.08","","-0.31%"
"2022-10-13","3,793.72","3,793.72","3,793.72","3,793.72","","0.81%"
"2022-10-12","3,763.38","3,763.38","3,763.38","3,763.38","","-0.63%"
"2022-10-11","3,787.34","3,787.34","3,787.34","3,787.34","","-1.79%"
"2022-10-10","3,856.48","3,856.48","3,856.48","3,856.48","","-0.91%"
"2022-10-7","3,891.99","3,891.99","3,891.99","3,891.99","","-0.72%"
"2022-10-6","3,920.39","3,920.39","3,920.39","3,920.39","","0.21%"
"2022-10-5","3,912.34","3,912.34","3,912.34","3,912.34","","1.44%"
"2022-10-4","3,856.66","3,856.66","3,856.66","3,856.66","","4.02%"
"2022-10-3","3,707.48","3,707.48","3,707.48","3,707.48","","2.89%"
"2022-9-30","3,603.21","3,603.21","3,603.21","3,603.21","","-0.98%"
"2022-9-29","3,639.05","3,639.05","3,639.05","3,639.05","","0.26%"
"2022-9-28","3,629.62","3,629.62","3,629.62","3,629.62","","0.92%"
"2022-9-27","3,596.52","3,596.52","3,596.52","3,596.52","","1.69%"
"2022-9-26","3,536.61","3,536.61","3,536.61","3,536.61","","-4.57%"
