"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-18","5,196.92","5,172.31","5,201.06","5,148.92","","0.48%"
"2022-11-17","5,172.31","5,230.45","5,263.67","5,168.80","","-1.11%"
"2022-11-16","5,230.45","5,239.13","5,252.30","5,200.85","","-0.17%"
"2022-11-15","5,239.13","5,302.44","5,302.44","5,218.71","","-1.19%"
"2022-11-14","5,302.44","5,350.79","5,378.52","5,281.41","","-0.90%"
"2022-11-11","5,350.79","5,339.54","5,368.82","5,334.72","","0.21%"
"2022-11-10","5,339.54","5,350.36","5,421.27","5,311.11","","-0.20%"
"2022-11-9","5,350.36","5,406.12","5,406.12","5,315.98","","-1.03%"
"2022-11-8","5,406.12","5,289.55","5,406.12","5,289.55","","2.20%"
"2022-11-7","5,289.55","5,220.04","5,290.16","5,212.16","","1.33%"
"2022-11-4","5,220.04","5,180.30","5,223.90","5,180.30","","0.77%"
"2022-11-3","5,180.30","5,194.66","5,199.53","5,114.99","","-0.28%"
"2022-11-2","5,194.66","5,193.81","5,219.66","5,171.52","","0.02%"
"2022-10-28","5,193.81","5,187.41","5,196.99","5,120.17","","0.12%"
"2022-10-27","5,187.41","5,151.34","5,196.62","5,142.35","","0.70%"
"2022-10-26","5,151.34","5,164.31","5,164.67","5,117.02","","-0.25%"
"2022-10-25","5,164.31","5,108.17","5,164.31","5,094.97","","1.10%"
"2022-10-24","5,108.17","5,147.37","5,182.32","5,101.63","","-0.76%"
"2022-10-21","5,147.37","5,139.35","5,153.26","5,082.43","","0.16%"
"2022-10-20","5,139.35","5,087.69","5,139.63","5,069.78","","1.02%"
"2022-10-19","5,087.69","5,122.85","5,127.82","5,075.20","","-0.69%"
"2022-10-18","5,122.85","5,103.06","5,170.97","5,081.46","","0.39%"
"2022-10-17","5,103.06","4,972.39","5,106.17","4,972.39","","2.63%"
"2022-10-14","4,972.39","4,961.09","5,028.88","4,961.09","","0.23%"
"2022-10-13","4,961.09","4,936.57","4,984.46","4,870.68","","0.50%"
"2022-10-12","4,936.57","4,988.80","5,011.21","4,905.19","","-1.05%"
"2022-10-11","4,988.80","5,079.68","5,089.19","4,961.49","","-1.79%"
"2022-10-7","5,079.68","5,183.55","5,184.76","5,079.45","","-2.00%"
"2022-10-6","5,183.55","5,192.25","5,210.54","5,168.00","","-0.17%"
"2022-10-5","5,192.25","5,248.87","5,248.87","5,172.81","","-1.08%"
"2022-10-4","5,248.87","5,143.23","5,268.76","5,143.23","","2.05%"
"2022-10-3","5,143.23","5,114.19","5,153.41","5,108.91","","0.57%"
"2022-9-30","5,114.19","5,035.38","5,157.70","5,035.38","","1.57%"
"2022-9-29","5,035.38","5,100.24","5,109.40","5,024.98","","-1.27%"
"2022-9-28","5,100.24","5,180.64","5,191.90","5,099.70","","-1.55%"
"2022-9-27","5,180.64","5,178.75","5,222.29","5,140.17","","0.04%"
"2022-9-26","5,178.75","5,207.22","5,249.16","5,176.10","","-0.55%"
"2022-9-23","5,207.22","5,303.06","5,303.06","5,207.09","","-1.81%"
"2022-9-22","5,303.06","5,369.33","5,370.19","5,294.71","","-1.23%"
"2022-9-21","5,369.33","5,340.97","5,401.64","5,334.24","","0.54%"
"2022-9-20","5,340.29","5,522.92","5,549.84","5,340.29","","-3.31%"
"2022-9-15","5,522.92","5,609.33","5,632.79","5,498.72","","-1.54%"
"2022-9-14","5,609.33","5,580.67","5,660.64","5,567.96","","0.51%"
"2022-9-13","5,580.67","5,596.26","5,629.68","5,527.69","","-0.28%"
"2022-9-12","5,596.26","5,612.07","5,647.99","5,578.31","","-0.28%"
"2022-9-9","5,612.03","5,516.80","5,616.99","5,516.80","","1.75%"
"2022-9-8","5,515.58","5,540.82","5,584.67","5,515.58","","-0.45%"
"2022-9-7","5,540.62","5,608.08","5,608.08","5,514.90","","-1.20%"
"2022-9-6","5,607.74","5,779.25","5,842.38","5,587.53","","-2.90%"
"2022-9-5","5,775.25","5,653.20","6,013.31","5,653.20","","2.16%"
"2022-9-2","5,653.20","5,408.05","5,708.68","5,227.82","","4.53%"
"2022-9-1","5,408.05","5,441.26","5,455.21","5,380.19","","-0.61%"
"2022-8-31","5,441.26","5,536.39","5,549.94","5,440.79","","-1.72%"
"2022-8-30","5,536.39","5,517.11","5,545.71","5,479.61","","0.35%"
"2022-8-29","5,517.11","5,461.80","5,517.32","5,421.80","","1.01%"
"2022-8-26","5,461.80","5,460.61","5,479.18","5,440.73","","0.02%"
"2022-8-25","5,460.61","5,418.17","5,465.83","5,417.39","","0.78%"
"2022-8-24","5,418.17","5,377.52","5,426.42","5,375.00","","0.76%"
"2022-8-23","5,377.52","5,340.49","5,388.47","5,335.79","","0.69%"
"2022-8-22","5,340.49","5,292.84","5,354.79","5,257.92","","0.90%"
"2022-8-19","5,292.84","5,345.53","5,353.89","5,265.31","","-0.99%"
"2022-8-18","5,345.53","5,405.31","5,405.31","5,322.12","","-1.11%"
"2022-8-17","5,405.31","5,386.81","5,416.74","5,353.37","","0.34%"
"2022-8-16","5,386.81","5,394.91","5,445.34","5,339.35","","-0.15%"
"2022-8-12","5,394.91","5,325.90","5,406.32","5,322.97","","1.30%"
"2022-8-11","5,325.90","5,272.93","5,325.90","5,260.33","","1.00%"
"2022-8-10","5,272.93","5,236.34","5,286.93","5,236.34","","0.70%"
"2022-8-9","5,236.34","5,260.34","5,260.34","5,215.81","","-0.46%"
"2022-8-8","5,260.34","5,212.40","5,271.33","5,212.40","","0.92%"
"2022-8-5","5,212.40","5,174.64","5,212.40","5,131.05","","0.73%"
"2022-8-4","5,174.64","5,206.05","5,222.06","5,154.00","","-0.60%"
"2022-8-3","5,206.05","5,248.53","5,269.32","5,181.83","","-0.81%"
"2022-8-2","5,248.53","5,258.39","5,261.32","5,219.63","","-0.19%"
"2022-8-1","5,258.39","5,259.05","5,272.84","5,229.79","","-0.01%"
"2022-7-29","5,259.05","5,259.39","5,287.30","5,243.19","","-0.01%"
"2022-7-28","5,259.39","5,251.32","5,286.88","5,242.09","","0.15%"
"2022-7-27","5,251.32","5,200.13","5,251.39","5,189.10","","0.98%"
"2022-7-26","5,200.13","5,236.33","5,238.16","5,183.07","","-0.69%"
"2022-7-25","5,236.33","5,220.33","5,237.57","5,186.73","","0.31%"
"2022-7-22","5,220.33","5,204.45","5,237.57","5,189.38","","0.31%"
"2022-7-21","5,204.45","5,147.00","5,205.13","5,121.90","","1.12%"
"2022-7-20","5,147.00","5,160.19","5,172.07","5,112.96","","-0.26%"
"2022-7-19","5,160.19","5,081.74","5,160.19","5,069.56","","1.54%"
"2022-7-18","5,081.74","5,091.73","5,140.46","5,071.34","","-0.20%"
"2022-7-15","5,091.73","5,136.05","5,137.91","5,057.68","","-0.86%"
"2022-7-14","5,136.05","5,117.81","5,136.05","5,053.80","","0.36%"
"2022-7-13","5,117.81","5,074.26","5,132.99","5,046.32","","0.86%"
"2022-7-12","5,074.26","5,058.45","5,078.93","5,017.52","","0.31%"
"2022-7-11","5,058.45","5,112.78","5,125.83","5,058.45","","-1.06%"
"2022-7-8","5,112.78","5,101.42","5,118.55","5,074.10","","0.22%"
"2022-7-7","5,101.42","5,006.95","5,105.43","5,006.95","","1.89%"
"2022-7-6","5,006.95","5,003.81","5,043.90","4,979.53","","0.06%"
"2022-7-5","5,003.81","4,989.07","5,008.45","4,935.71","","0.30%"
"2022-7-4","4,989.07","4,993.37","5,001.66","4,968.86","","-0.09%"
"2022-7-1","4,993.37","4,950.39","5,007.01","4,950.39","","0.87%"
"2022-6-30","4,950.39","5,009.63","5,011.64","4,950.39","","-1.18%"
"2022-6-29","5,009.63","5,004.48","5,019.62","4,978.02","","0.10%"
"2022-6-28","5,004.48","4,983.66","5,083.12","4,937.76","","0.42%"
"2022-6-24","4,983.66","4,934.81","5,017.97","4,934.81","","0.99%"
"2022-6-23","4,934.81","5,056.37","5,095.51","4,924.04","","-2.40%"
"2022-6-22","5,056.37","5,084.37","5,102.37","5,056.37","","-0.55%"
"2022-6-20","5,084.37","5,067.06","5,098.48","5,051.96","","0.34%"
"2022-6-17","5,067.06","5,029.48","5,107.83","4,998.08","","0.75%"
"2022-6-16","5,029.48","5,139.41","5,139.41","4,991.55","","-2.14%"
"2022-6-15","5,139.41","5,121.40","5,152.48","5,103.65","","0.35%"
"2022-6-14","5,121.40","5,131.30","5,165.80","5,114.27","","-0.19%"
"2022-6-13","5,131.30","5,237.85","5,237.85","5,098.85","","-2.03%"
"2022-6-10","5,237.85","5,184.27","5,238.71","5,136.49","","1.03%"
"2022-6-9","5,184.27","5,277.00","5,279.33","5,184.27","","-1.76%"
"2022-6-8","5,277.00","5,358.95","5,358.95","5,262.44","","-1.53%"
"2022-6-7","5,358.95","5,332.59","5,367.98","5,313.67","","0.49%"
"2022-6-6","5,332.59","5,352.44","5,393.33","5,317.70","","-0.37%"
"2022-6-3","5,352.44","5,353.13","5,357.31","5,318.48","","-0.01%"
"2022-6-2","5,353.13","5,299.11","5,366.81","5,275.70","","1.02%"
"2022-6-1","5,299.11","5,350.48","5,352.79","5,230.87","","-0.96%"
"2022-5-31","5,350.48","5,385.70","5,388.87","5,262.91","","-0.65%"
"2022-5-30","5,385.70","5,387.06","5,432.56","5,377.25","","-0.03%"
"2022-5-27","5,387.06","5,268.96","5,388.10","5,266.93","","2.24%"
"2022-5-26","5,268.96","5,191.05","5,279.52","5,191.05","","1.50%"
"2022-5-25","5,191.05","5,142.75","5,192.98","5,142.75","","0.94%"
"2022-5-24","5,142.75","5,127.52","5,157.59","5,096.91","","0.30%"
"2022-5-23","5,127.52","4,982.95","5,132.38","4,982.95","","2.90%"
"2022-5-20","4,982.95","4,982.10","5,039.65","4,931.51","","0.02%"
"2022-5-19","4,982.10","4,964.76","5,015.36","4,962.54","","0.35%"
"2022-5-18","4,964.76","5,023.24","5,059.23","4,964.35","","-1.16%"
"2022-5-17","5,023.24","4,868.58","5,023.36","4,868.58","","3.18%"
"2022-5-16","4,868.58","4,850.44","4,927.29","4,850.44","","0.37%"
"2022-5-13","4,850.44","4,713.77","4,875.46","4,713.77","","2.90%"
"2022-5-12","4,713.77","4,676.93","4,745.05","4,650.47","","0.79%"
"2022-5-11","4,676.93","4,697.16","4,755.85","4,676.39","","-0.43%"
"2022-5-10","4,697.16","4,744.18","4,792.61","4,673.96","","-0.99%"
"2022-5-9","4,744.18","4,838.54","4,850.41","4,744.03","","-1.95%"
"2022-5-6","4,838.54","4,853.79","4,861.03","4,808.68","","-0.31%"
"2022-5-5","4,853.79","4,887.57","4,928.83","4,852.05","","-0.69%"
"2022-5-4","4,887.57","4,785.63","4,899.39","4,785.63","","2.13%"
"2022-5-3","4,785.63","4,759.90","4,790.37","4,739.38","","0.54%"
"2022-5-2","4,759.90","4,778.43","4,796.54","4,709.44","","-0.39%"
"2022-4-29","4,778.43","4,792.66","4,844.77","4,778.41","","-0.30%"
"2022-4-28","4,792.66","4,775.36","4,818.16","4,748.27","","0.36%"
"2022-4-27","4,775.36","4,701.47","4,789.06","4,701.47","","1.57%"
"2022-4-26","4,701.47","4,759.15","4,786.71","4,701.47","","-1.21%"
"2022-4-25","4,759.15","4,867.88","4,908.59","4,737.49","","-2.23%"
"2022-4-22","4,867.88","4,911.90","4,916.64","4,867.88","","-0.90%"
"2022-4-21","4,911.90","4,974.76","4,989.31","4,872.76","","-1.26%"
"2022-4-20","4,974.76","4,911.77","4,974.76","4,904.38","","1.28%"
"2022-4-19","4,911.77","4,867.64","4,938.85","4,867.64","","0.91%"
"2022-4-18","4,867.64","4,917.30","4,933.09","4,865.75","","-1.01%"
"2022-4-14","4,917.30","4,921.46","4,942.94","4,915.03","","-0.08%"
"2022-4-13","4,921.46","4,909.04","4,950.67","4,908.69","","0.25%"
"2022-4-12","4,909.04","4,918.79","4,939.85","4,862.63","","-0.20%"
"2022-4-11","4,918.79","4,969.25","4,969.25","4,869.48","","-1.02%"
"2022-4-8","4,969.25","4,965.32","4,997.07","4,947.58","","0.08%"
"2022-4-7","4,965.32","4,971.94","4,989.78","4,945.47","","-0.13%"
"2022-4-6","4,971.94","4,929.10","4,971.94","4,891.22","","0.87%"
"2022-4-5","4,929.10","4,992.29","4,993.95","4,921.75","","-1.27%"
"2022-4-4","4,992.29","4,978.49","5,011.08","4,953.64","","0.28%"
"2022-4-1","4,978.49","4,936.97","4,995.31","4,936.73","","0.84%"
"2022-3-31","4,936.97","4,894.98","4,941.51","4,874.70","","0.86%"
"2022-3-30","4,894.98","4,914.73","4,925.45","4,871.07","","-0.40%"
"2022-3-29","4,914.73","4,938.80","4,938.80","4,889.03","","-0.49%"
"2022-3-28","4,938.80","4,965.11","5,009.37","4,917.77","","-0.53%"
"2022-3-25","4,965.11","4,954.51","4,979.07","4,927.48","","0.21%"
"2022-3-24","4,954.51","4,841.46","4,954.51","4,840.36","","2.34%"
"2022-3-23","4,841.46","4,888.18","4,899.24","4,819.04","","-0.96%"
"2022-3-22","4,888.18","4,994.67","4,995.63","4,883.79","","-2.13%"
