,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
2004-10-12,2.851867347376764,2.5734884191554546,2.6636115821755406,2.548026798247508,2.622309523930109,2.818477647678447,2.0768125531834754,2.5587052429337613,2.437550502679987
2004-10-13,2.843349234657348,2.567321946893774,2.6584887991888073,2.541347236589713,2.6235915481775978,2.8155078983920183,2.0753221481666113,2.551402622359402,2.4389129583207514
2004-10-14,2.8488560779976453,2.5703414097279733,2.660964507439707,2.544921915532955,2.626108371090142,2.819657652062379,2.075397049258354,2.5504687416357297,2.442040601725334
2004-10-15,2.8472864567306817,2.569729323205838,2.661228707712388,2.547702235515668,2.625508274194804,2.819310563940836,2.0750246749049497,2.550572004886888,2.4400942732033917
2004-10-18,2.844534564557054,2.5670689686211143,2.659523187360286,2.545858069726327,2.6288262917623793,2.814867515986046,2.072503944262774,2.5521090210009354,2.4391739685090608
2004-10-19,2.8464576502054078,2.5683630741347496,2.6625992900634112,2.5476476246158164,2.6331598228914608,2.8164932356835557,2.0728173778984087,2.5474991247375045,2.440730310755469
2004-10-20,2.8477321970908056,2.573855031742631,2.654757680930241,2.5519228407046723,2.6388401852949204,2.820087677570357,2.0753554345024954,2.5335816022894297,2.4450312560333494
2004-10-21,2.8490161975539112,2.5701458314145356,2.655400404581315,2.5528339930226247,2.635126717263286,2.8215575268768904,2.0750462545817476,2.5343421902580925,2.443484530992015
2004-10-22,2.8475589849274936,2.5702735758605875,2.6547034258772797,2.556585066159707,2.635208769633043,2.8204737516880454,2.0747481127447447,2.5289088092633527,2.4409859364715536
2004-10-25,2.8684269082185407,2.5887654368165234,2.6594158078581245,2.570220530864892,2.6513301192103618,2.846696535566416,2.0825033704635034,2.5349386580665483,2.458288460943221
2004-10-26,2.8688531456092496,2.5907321233297003,2.6605278868871047,2.5785323424645084,2.65511390019517,2.8505245137709285,2.0867725221864615,2.536342036284718,2.475840938920173
2004-10-27,2.87136616307966,2.591052383898819,2.6611156937336498,2.575935076676758,2.6507161391453384,2.8526104400167265,2.0916237853760418,2.529129797794723,2.4810481736357093
2004-10-28,2.889710621861986,2.605774168125468,2.6376247737031973,2.5989452186844986,2.671185738495197,2.8712545132479153,2.1220862473894577,2.519331507972884,2.496738134871868
2004-10-29,2.886854623873953,2.606086672235587,2.6404740887442912,2.5967973472005865,2.6716927176242216,2.8705640626195335,2.121105702819103,2.5233963910903805,2.5034749445915425
2004-11-01,2.8842965408303183,2.6048837745732403,2.641631622890883,2.5968491995171363,2.6714763619483235,2.8696083765320086,2.121141074938526,2.524146002469164,2.5027712233753023
