交易时间,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
2004-01-02,2270.71,10676.64,8818.19,12801.48,821.26,342.76,3982.23,8293.7,1484.6
2004-01-05,2282.31,10825.17,9054.11,13005.33,824.1,343.74,3982.23,8381.66,1484.8
2004-01-06,2293.44,10813.99,9038.46,13036.32,823.43,342.11,3982.23,8405.1,1466.77
2004-01-07,2295.09,10757.82,9098.22,13157.68,827.07,340.17,3960.01,8388.53,1461.6
2004-01-08,2317.03,10837.65,9169.81,13203.59,824.15,345.29,3983.1,8386.42,1462.85
2004-01-09,2315.13,10965.05,9102.82,13385.8,845.27,343.52,3953.33,8352.19,1476.4
2004-01-12,2314.59,10965.05,9129.05,13352.22,850.79,341.53,3934.74,8380.37,1475.81
2004-01-13,2323.32,10849.68,9141.58,13396.65,848.43,342.77,3889.5,8380.34,1467.89
2004-01-14,2346.46,10863.0,9171.66,13320.88,849.62,347.23,3881.42,8403.77,1481.69
2004-01-15,2357.65,10665.15,9135.16,13249.81,845.66,351.47,3819.25,8423.94,1475.09
2004-01-16,2381.64,10857.2,9193.81,13167.76,847.95,357.55,3782.61,8522.26,1459.48
2004-01-19,2383.81,11036.33,9242.57,13253.31,856.8,357.34,3748.72,8580.36,1455.97
2004-01-20,2372.18,11103.1,9322.82,13570.43,861.37,354.25,3844.52,8623.62,1453.98
2004-01-21,2387.52,11002.39,9427.8,13750.58,861.37,357.45,3838.76,8621.88,1446.37
2004-01-22,2390.35,11000.7,9497.01,13750.58,861.37,357.97,3833.76,8589.11,1451.02
2004-01-23,2387.02,11069.01,9480.24,13750.58,861.37,357.13,3807.24,8604.73,1453.5
2004-01-26,2384.83,10972.6,9563.91,13727.27,869.04,355.58,3890.61,8594.92,1438.92
2004-01-27,2392.34,10928.03,9612.14,13761.88,863.03,356.96,3836.32,8588.18,1439.96
2004-01-28,2398.21,10852.47,9551.13,13431.78,859.59,359.23,3765.82,8535.71,1432.74
2004-01-29,2381.9,10779.44,9444.23,13334.01,853.47,354.22,3746.37,8449.36,1415.25
2004-01-30,2383.76,10783.61,9428.77,13289.37,848.5,353.31,3741.03,8521.39,1408.86
2004-02-02,2405.88,10776.73,9633.86,12999.98,854.89,355.47,3825.47,8639.89,1411.33
2004-02-03,2390.09,10641.92,9702.85,13090.01,839.87,351.74,3830.01,8660.7,1416.47
2004-02-04,2379.77,10447.25,9674.18,13086.73,835.5,348.99,3830.28,8538.12,1412.47
2004-02-05,2385.71,10464.6,9674.18,13030.94,840.92,349.85,3821.6,8548.41,1426.19
2004-02-06,2396.55,10460.92,9810.77,13309.6,850.23,351.35,3806.62,8638.61,1424.71
2004-02-09,2413.67,10402.61,9882.35,13576.68,864.77,355.49,3804.41,8695.2,1427.29
2004-02-10,2411.18,10365.4,9804.94,13515.66,866.8,355.77,3781.79,8751.51,1428.7
2004-02-11,2418.79,10365.4,9875.32,13524.76,876.34,357.61,3749.74,8767.73,1432.95
2004-02-12,2429.98,10459.26,9960.05,13625.13,877.95,358.35,3668.73,8725.04,1435.47
2004-02-13,2423.84,10557.69,9982.87,13739.8,882.18,355.64,3656.59,8694.46,1445.45
2004-02-16,2439.37,10548.72,10004.69,13831.53,881.28,357.67,3656.59,8747.51,1461.6
2004-02-17,2460.09,10701.13,10100.05,13815.44,884.8,361.02,3672.16,8767.1,1487.43
2004-02-18,2476.87,10676.81,10125.04,13928.38,877.1,361.34,3700.99,8717.83,1514.61
2004-02-19,2493.27,10753.8,10072.23,13867.22,881.65,364.8,3697.92,8699.09,1506.62
2004-02-20,2476.86,10720.69,9888.73,13868.37,877.49,362.37,3725.79,8641.93,1504.79
2004-02-23,2493.85,10868.96,9764.39,13765.07,877.52,359.93,3761.34,8609.62,1533.4
2004-02-24,2476.95,10644.13,9855.03,13756.41,864.59,354.21,3786.93,8604.99,1524.81
2004-02-25,2476.4,10658.73,9926.67,13599.47,866.87,355.04,3783.16,8637.32,1531.23
2004-02-26,2472.68,10815.29,10003.57,13674.64,864.86,355.99,3782.88,8737.84,1537.33
2004-02-27,2483.16,11041.92,9991.8,13907.03,883.42,356.59,3807.97,8788.49,1543.08
2004-03-01,2483.28,11271.12,10157.13,13918.65,883.42,358.63,3765.15,8874.67,1546.97
2004-03-02,2491.25,11361.51,10106.44,13731.35,899.21,362.23,3764.22,8808.0,1567.81
2004-03-03,2481.83,11351.92,10053.18,13454.09,895.81,360.1,3763.51,8795.69,1568.41
2004-03-04,2507.05,11401.79,10196.17,13451.56,907.43,361.52,3814.26,8773.27,1554.09
2004-03-05,2513.2,11537.29,10195.03,13454.76,905.38,359.93,3763.55,8845.04,1540.53
2004-03-08,2517.28,11502.86,10095.87,13573.54,900.1,360.82,3763.45,8801.21,1493.64
2004-03-09,2481.3,11532.04,10079.2,13397.25,891.58,355.5,3768.96,8750.31,1512.68
2004-03-10,2477.03,11433.24,9978.71,13214.2,876.02,354.52,3768.8,8585.42,1512.69
2004-03-11,2403.83,11297.04,9725.83,13024.06,869.93,344.05,3767.63,8503.88,1496.58
2004-03-12,2414.11,11162.75,9837.33,12932.23,848.8,345.99,3768.29,8592.04,1484.66
2004-03-15,2360.23,11317.9,9791.35,12919.41,852.26,337.22,3737.06,8434.41,1463.44
2004-03-16,2363.54,11242.29,9877.29,12932.62,850.13,338.46,3729.81,8503.27,1474.68
2004-03-17,2403.63,11436.86,9959.41,12975.72,872.38,345.11,3703.3,8601.72,1475.37
2004-03-18,2367.66,11484.28,9952.01,12816.19,872.82,336.93,3676.19,8555.9,1460.97
2004-03-19,2358.87,11418.51,10039.68,12790.58,883.33,336.24,3613.52,8583.81,1453.67
2004-03-22,2315.08,11318.51,9928.32,12550.91,863.69,328.38,3527.03,8478.48,1424.24
2004-03-23,2326.22,11281.09,10053.89,12588.36,866.17,329.21,3472.16,8474.52,1429.5
2004-03-24,2321.55,11364.99,10161.65,12678.13,861.72,326.33,3420.9,8420.85,1418.01
2004-03-25,2346.82,11530.91,10344.79,12520.21,853.38,334.53,3371.22,8513.91,1441.44
2004-03-26,2362.3,11770.65,10432.0,12483.24,863.95,335.24,3362.8,8509.56,1433.87
2004-03-29,2370.27,11718.24,10455.51,12427.34,874.67,340.51,3281.95,8555.23,1447.3
2004-03-30,2369.42,11693.68,10468.75,12641.39,873.46,339.83,3238.55,8622.24,1449.62
2004-03-31,2380.35,11715.39,10517.5,12681.67,880.5,338.87,3302.37,8585.93,1458.9
2004-04-01,2412.7,11683.42,10611.87,12676.25,882.75,342.46,3441.47,8652.08,1480.31
2004-04-02,2441.08,11815.95,10713.54,12731.76,883.69,350.52,3518.67,8798.75,1488.92
2004-04-05,2448.6,11958.32,10749.23,12731.76,883.69,352.3,3547.04,8858.49,1507.66
2004-04-06,2453.86,12079.7,10714.28,12886.97,906.19,349.65,3672.46,8832.71,1500.93
2004-04-07,2455.37,12019.62,10746.58,12920.05,909.93,350.49,3672.54,8807.59,1496.3
2004-04-08,2468.52,12092.59,10746.58,12909.37,916.86,350.96,3672.54,8833.48,1481.62
